"The data was extracted from the 1974 Motor Trend US magazine, and comprises fuel consumption and 10 aspects of automobile design and performance for 32 automobiles (1973–74 models).",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
mpg,Miles/(US) gallon,,menentukan jarak yang bisa ditempuh tiap 1 gallon bahan bakar,,,,,,,,,,,,,,,,,,,,,,
cyl,Number of cylinders,,menentukan jumlah silinder YANG BERHUBUNGAN dg SATUAN KEKUATAN untuk mesin,,,,,,,,,,,,,,,,,,,,,,
disp,Displacement (cu.in.),,"VOLUME SEMUA SILINDER/piston (cu.in)=inci kubik, biasanya kita cm kubik",,,,,,,,,,,,,,,,,,,,,,
hp,Gross horsepower,,TOTAL HORSEPOWER,,,,,,,,,,,,,,,,,,,,,,
drat,Rear axle ratio,,rasio antara putaran mesin dengan putaran gear/roda,,,,,,,,,,,,,,,,,,,,,,
wt,Weight (1000 lbs),,,,,,,,,,,,,,,,,,,,,,,,
qsec,1/4 mile time,,,,,,,,,,,,,,,,,,,,,,,,
vs,"Engine (0 = V-shaped, 1 = straight)",,,,,,,,,,,,,,,,,,,,,,,,
am,"Transmission (0 = automatic, 1 = manual)",,,,,,,,,,,,,,,,,,,,,,,,
gear,Number of forward gears,,,,,,,,,,,,,,,,,,,,,,,,
carb,Number of carburetors,,,,,,,,,,,,,,,,,,,,,,,,
